LineItem,Unnamed: 1,12 Months Ended,Unnamed: 3,Unnamed: 4
Total revenues,,37895.0,34857.0,31352.0
Total cost of revenues,,8643.0,8541.0,8360.0
Gross profit,,29252.0,26316.0,22992.0
Research and development,,5493.0,4906.0,5055.0
Sales and marketing,,13257.0,12877.0,13526.0
General and administrative,,2836.0,2534.0,2553.0
Restructuring,,461.0,988.0,828.0
Total operating expenses,,22047.0,21305.0,21962.0
Income from operations,,7205.0,5011.0,1030.0
"Losses on strategic investments, net",,-121.0,-277.0,-239.0
Other income (expense),,354.0,216.0,-131.0
Income before provision for income taxes,,7438.0,4950.0,660.0
Provision for income taxes,,-1241.0,-814.0,-452.0
Net income,,6197.0,4136.0,208.0
Basic net income per share (in dollars per share),,6.44,4.25,0.21
Diluted net income per share (in dollars per share),,6.36,4.2,0.21
Shares used in computing basic net income per share (in shares),,962.0,974.0,992.0
Shares used in computing diluted net income per share (in shares),,974.0,984.0,997.0
Total revenues,,35679.0,32537.0,29021.0
Total cost of revenues,,6198.0,6177.0,5821.0
Total revenues,,2216.0,2320.0,2331.0
Total cost of revenues,,2445.0,2364.0,2539.0
