LineItem,"Dec. 31, 2024","Dec. 31, 2023"
Cash and cash equivalents,1246983.0,330339.0
Marketable securities,2942076.0,2252559.0
"Accounts receivable, net of allowance for credit losses of $16,302 and $12,096 as of December 31, 2024 and 2023, respectively",598919.0,509279.0
"Deferred contract costs, current",56095.0,44938.0
Prepaid expenses and other current assets,67042.0,41022.0
Total current assets,4911115.0,3178137.0
"Property and equipment, net",226970.0,171872.0
Operating lease assets,172512.0,126562.0
Goodwill,360381.0,352694.0
"Intangible assets, net",3711.0,9617.0
"Deferred contract costs, non-current",86573.0,73728.0
Other assets,24077.0,23462.0
TOTAL ASSETS,5785339.0,3936072.0
Accounts payable,107731.0,87712.0
Accrued expenses and other current liabilities,127136.0,127631.0
"Operating lease liabilities, current",31970.0,21974.0
"Convertible senior notes, net, current",634023.0,0.0
"Deferred revenue, current",961853.0,765735.0
Total current liabilities,1862713.0,1003052.0
"Operating lease liabilities, non-current",196905.0,138128.0
"Convertible senior notes, net, non-current",979282.0,742235.0
"Deferred revenue, non-current",22693.0,21210.0
Other liabilities,9383.0,6093.0
Total liabilities,3070976.0,1910718.0
Additional paid-in capital,2689013.0,2181267.0
Accumulated other comprehensive loss,-4701.0,-2218.0
Accumulated gain (deficit),30048.0,-153698.0
Total stockholders’ equity,2714363.0,2025354.0
TOTAL LIABILITIES AND STOCKHOLDERS' EQUITY,5785339.0,3936072.0
"Common stock, value",3.0,3.0
"Common stock, value",0.0,0.0
