LineItem,12 Months Ended,Unnamed: 2,Unnamed: 3
Revenue,2684275.0,2128359.0,1675100.0
Cost of revenue,515531.0,409908.0,346743.0
Gross profit,2168744.0,1718451.0,1328357.0
Research and development,1152703.0,962447.0,752351.0
Sales and marketing,756605.0,609276.0,495288.0
General and administrative,205152.0,180192.0,139413.0
Total operating expenses,2114460.0,1751915.0,1387052.0
Operating income (loss),54284.0,-33464.0,-58695.0
Interest expense,-7068.0,-6302.0,-16535.0
"Interest income and other income, net",156724.0,100001.0,37160.0
"Other income, net",149656.0,93699.0,20625.0
Income (loss) before provision for income taxes,203940.0,60235.0,-38070.0
Provision for income taxes,20194.0,11667.0,12090.0
Net income (loss),183746.0,48568.0,-50160.0
"Net income (loss) attributable to common stockholders, basic",183746.0,48568.0,-50160.0
Allocation of distributed income (loss),183746.0,48568.0,-50160.0
Basic net income (loss) per share (in dollars per share),0.55,0.15,-0.16
Diluted net income (loss) per share (in dollars per share),0.52,0.14,-0.16
Weighted average shares used in calculating basic net income (loss) per share (in shares),336172.0,324033.0,315410.0
Weighted average shares used in calculating diluted net income (loss) per share (in shares),358636.0,350292.0,315410.0
