LineItem,12 Months Ended,Unnamed: 2,Unnamed: 3
Revenue,3626396.0,2806489.0,2065659.0
Cost of revenue,1214673.0,898558.0,717540.0
Gross profit,2411723.0,1907931.0,1348119.0
Sales and marketing,1672092.0,1391747.0,1106507.0
Research and development,1783379.0,1287949.0,788058.0
General and administrative,412262.0,323008.0,295821.0
Total operating expenses,3867733.0,3002704.0,2190386.0
Operating loss,-1456010.0,-1094773.0,-842267.0
Interest income,209009.0,200663.0,73839.0
Interest expense,-2759.0,0.0,0.0
"Other income (expense), net",-35339.0,44887.0,-47565.0
Loss before income taxes,-1285099.0,-849223.0,-815993.0
Provision for (benefit from) income taxes,4113.0,-11233.0,-18467.0
Net loss,-1289212.0,-837990.0,-797526.0
Less: net loss attributable to noncontrolling interest,-3572.0,-1893.0,-821.0
Net loss attributable to Snowflake Inc.,-1285640.0,-836097.0,-796705.0
Net loss per share attributable to Snowflake Inc. Class A common stockholders—basic (in dollars per share),-3.86,-2.55,-2.5
Net loss per share attributable to Snowflake Inc. Class A common stockholders—diluted (in dollars per share),-3.86,-2.55,-2.5
Weighted-average shares used in computing net loss per share attributable to Snowflake Inc. Class A common stockholders—basic (in shares),332707.0,328001.0,318730.0
Weighted-average shares used in computing net loss per share attributable to Snowflake Inc. Class A common stockholders—diluted (in shares),332707.0,328001.0,318730.0
